Nombre,Region,CUT_Reg,Provincia,CUT_provin,Comuna,CUT_comuna,Categoria_,SUP_M2,T__HOGARES,SUP_km,xcoord,ycoord
"Unión, Fuerza y Esperanza",Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,44998.39014050000,"328",0.04499838417,-70.0955175338223,-20.2524294666149
Nuestro Sueño,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,23410.87197640000,"40",0.02341086069,-70.0983986332736,-20.2518820334592
La Unión Hace la Fuerza,O'Higgins,"6",Colchagua,"63",San Fernando,"6301",Urbano,11644.96339150000,"26",0.01164496849,-70.9835269150638,-34.5743982334949
Santa Elena,O'Higgins,"6",Colchagua,"63",San Fernando,"6301",Rural,29513.84111230000,"73",0.02951383196,-70.9684864102352,-34.5964480981677
Río Seco,O'Higgins,"6",Cachapoal,"61",Olivar,"6111",Rural,8194.60670420000,"42",0.00819459671,-70.7763558772397,-34.2146616582962
Cerro el Colera,O'Higgins,"6",Cachapoal,"61",Doñihue,"6105",Rural,17976.46025930000,"28",0.01797646158,-70.9837712003544,-34.227718072986
El Guindal - Los Peumos,O'Higgins,"6",Cachapoal,"61",Machalí,"6108",Mixto,148227.44516900001,"72",0.14822744320,-70.627900897357,-34.1940331403693
28 de Febrero,O'Higgins,"6",Cachapoal,"61",Requínoa,"6116",Urbano,1442.94521837000,"31",0.00144294444,-70.8220247821866,-34.2902898749339
Siete Puentes,O'Higgins,"6",Cachapoal,"61",Olivar,"6111",Rural,14472.92946820000,"50",0.01447292394,-70.7412554769901,-34.2087913904608
Miraflores,O'Higgins,"6",Colchagua,"63",San Fernando,"6301",Rural,10809.01325870000,"78",0.01080900047,-70.9473901695572,-34.5427834122366
Polonia Carretera,O'Higgins,"6",Colchagua,"63",San Fernando,"6301",Rural,20539.12751500000,"28",0.02053912633,-70.9395087527449,-34.5331193545128
El Nogal,O'Higgins,"6",Cachapoal,"61",Mostazal,"6110",Urbano,2981.11746611000,"23",0.00298111824,-70.7180044578625,-33.9778641159484
Las Vertientes,O'Higgins,"6",Cachapoal,"61",Mostazal,"6110",Mixto,1696.59204187000,"22",0.00169659005,-70.7132230328609,-33.9698749458034
Río Peuco,O'Higgins,"6",Cachapoal,"61",Mostazal,"6110",Rural,42954.44004490000,"30",0.04295444829,-70.7147266982026,-33.9477431434433
Barriales el Tambo,O'Higgins,"6",Colchagua,"63",Santa Cruz,"6310",Rural,5957.49576822000,"10",0.00595748927,-71.3770058784757,-34.6008834858598
La Cabrería,O'Higgins,"6",Colchagua,"63",Nancagua,"6305",Rural,35643.10084830000,"59",0.03564310364,-71.1982334829499,-34.710026791552
Diego Portales,O'Higgins,"6",Cachapoal,"61",Rengo,"6115",Urbano,1615.20552028000,"17",0.00161521003,-70.8357575355613,-34.3383699131787
Marcial Caro,O'Higgins,"6",Cachapoal,"61",Requínoa,"6116",Rural,1441.02365700000,"14",0.00144102538,-70.7836071934791,-34.2277680606622
Rinconada de Manantiales,O'Higgins,"6",Colchagua,"63",Placilla,"6308",Rural,5438.11206674000,"46",0.00543811602,-71.0364391899155,-34.6210709840933
Longitudinal Antiguo Línea Férrea I,O'Higgins,"6",Cachapoal,"61",Olivar,"6111",Urbano,344.20089410800,"40",0.00034420061,-70.7657473556159,-34.2058744234518
Estación de Pelequén I,O'Higgins,"6",Cachapoal,"61",Malloa,"6109",Urbano,383.27729152800,"21",0.00038327623,-70.8920178326162,-34.458709138444
Río Claro I,O'Higgins,"6",Cachapoal,"61",Rengo,"6115",Urbano,985.93857145700,"30",0.00098593798,-70.850346306839,-34.3811170546684
Los Colihues,Ñuble,"16",Diguillín,"161",Chillán Viejo,"16103",Rural,8466.56875004000,"10",0.00846657569,-72.2173979442907,-36.6397722870271
Victor Jara,Ñuble,"16",Diguillín,"161",Chillán,"16101",Urbano,2691.24495806000,"22",0.00269124349,-72.1265108543527,-36.6101216928368
Los Corregidores,Ñuble,"16",Diguillín,"161",Chillán,"16101",Urbano,6163.51244410000,"13",0.00616350462,-72.1286683435822,-36.6121200399875
Oro Verde,Ñuble,"16",Diguillín,"161",Chillán,"16101",Rural,7692.93022650000,"9",0.00769294022,-72.1707865624667,-36.6037193116695
Villa Esperanza,Ñuble,"16",Diguillín,"161",Chillán,"16101",Mixto,10733.20867820000,"19",0.01073320800,-72.1705434607262,-36.6126287802794
Línea Férrea confluencia,Ñuble,"16",Diguillín,"161",Chillán,"16101",Urbano,18958.40845470000,"35",0.01895840691,-72.4451529244951,-36.6453954334397
Litral Confluencia,Ñuble,"16",Diguillín,"161",Chillán,"16101",Rural,42716.76883570000,"26",0.04271676226,-72.4515581011013,-36.6510826792491
Los Montes de Quinquehua,Ñuble,"16",Diguillín,"161",Chillán,"16101",Rural,28670.57314430000,"47",0.02867058537,-71.9059324304858,-36.5432325401058
Nuevo Amanecer,Ñuble,"16",Diguillín,"161",Pemuco,"16105",Urbano,5614.17527590000,"22",0.00561417299,-72.1045715233833,-36.9775791884866
Pablo Neruda II,Ñuble,"16",Itata,"162",Quirihue,"16201",Urbano,47293.09182830000,"39",0.04729308494,-72.5329684308275,-36.2767412402136
Esmeralda Sur,Ñuble,"16",Punilla,"163",San Nicolás,"16305",Urbano,3540.39533709000,"13",0.00354039254,-72.2122453469241,-36.5063414593279
Santa Laura Puente Ñuble,Ñuble,"16",Punilla,"163",San Nicolás,"16305",Rural,12035.95852220000,"22",0.01203596225,-72.0958090911081,-36.5462634976716
Los Pitufos,Metropolitana,"13",Cordillera,"132",San José de Maipo,"13203",Rural,12429.68101010000,"35",0.01242967956,-70.3570471121072,-33.6369839315614
Ribera Sur,Metropolitana,"13",Chacabuco,"133",Colina,"13301",Urbano,25682.06994740000,"195",0.02568204970,-70.6730203502104,-33.2113358984404
La Isla,Metropolitana,"13",Santiago,"131",Maipú,"13119",Rural,28656.98660110000,"82",0.02865697812,-70.8132175177066,-33.4962267938502
Aguada Sur,Metropolitana,"13",Santiago,"131",Maipú,"13119",Urbano,31856.32776730000,"104",0.03185633837,-70.7776178833991,-33.496829546232
Patria Joven,Metropolitana,"13",Cordillera,"132",San José de Maipo,"13203",Rural,6507.12057814000,"11",0.00650711728,-70.408125060256,-33.5812702881986
Juanita de los Andes,Metropolitana,"13",Melipilla,"135",Curacaví,"13503",Urbano,18551.64816810000,"69",0.01855164267,-71.1481614458508,-33.4064567023839
Cementerio,Metropolitana,"13",Cordillera,"132",San José de Maipo,"13203",Rural,3438.29018113000,"23",0.00343828915,-70.3479342256048,-33.6356552772782
San Gabriel,Metropolitana,"13",Cordillera,"132",San José de Maipo,"13203",Rural,40078.09126960000,"113",0.04007809217,-70.2363022620076,-33.7839659938049
Gen Chile,Metropolitana,"13",Santiago,"131",Pedro Aguirre Cerda,"13121",Mixto,2486.99303441000,"11",0.00248698826,-70.6600764633413,-33.4759928326279
Estación Lonquén,Metropolitana,"13",Talagante,"136",Isla de Maipo,"13603",Rural,45757.17669570000,"36",0.04575716794,-70.854611017394,-33.7156846588533
Huilliche Santiago (Las Pesebreras),Metropolitana,"13",Santiago,"131",Cerro Navia,"13103",Urbano,4456.63018808000,"11",0.00445663012,-70.7553074451209,-33.413133038557
Los Areneros,Metropolitana,"13",Cordillera,"132",Puente Alto,"13201",Mixto,91227.24717780000,"97",0.09122722986,-70.5825682968133,-33.631958085598
Jorge Inostroza,Metropolitana,"13",Santiago,"131",Huechuraba,"13107",Urbano,8295.90043101000,"77",0.00829590173,-70.6270270169439,-33.3637904418497
El Guerrillero,Metropolitana,"13",Santiago,"131",Huechuraba,"13107",Urbano,12033.47647440000,"35",0.01203347475,-70.6296952229549,-33.3713434193433
Central Hidroeléctrica,Metropolitana,"13",Santiago,"131",La Florida,"13110",Urbano,2582.01931331000,"17",0.00258202060,-70.5527659702147,-33.5465842699992
Ribera del Río,Metropolitana,"13",Chacabuco,"133",Tiltil,"13303",Rural,33746.74573050000,"49",0.03374675654,-70.8879504116427,-33.1664876157533
Los Algarrobos,Metropolitana,"13",Chacabuco,"133",Tiltil,"13303",Rural,10504.43006460000,"36",0.01050443089,-70.8855833081385,-33.1702003367121
Santa Luisa,Metropolitana,"13",Santiago,"131",La Florida,"13110",Urbano,8755.73493104000,"39",0.00875573165,-70.5503646594459,-33.5130146688211
San Ignacio,Metropolitana,"13",Santiago,"131",Quilicura,"13125",Rural,22347.25639500000,"63",0.02234724806,-70.7060946913578,-33.3232567818905
La Pompeya,Metropolitana,"13",Chacabuco,"133",Lampa,"13302",Rural,14091.90128050000,"0",0.01409190011,-70.890813928011,-33.2801725487078
Mapochito,Metropolitana,"13",Talagante,"136",El Monte,"13602",Rural,10680.29594470000,"22",0.01068029652,-70.9747661505273,-33.6786579879976
Pueblito La Farfana,Metropolitana,"13",Santiago,"131",Maipú,"13119",Rural,17433.13794520000,"42",0.01743313188,-70.7955697650196,-33.4841420144002
El Molino,Metropolitana,"13",Santiago,"131",Quilicura,"13125",Rural,27368.25006590000,"47",0.02736824652,-70.690700728868,-33.3624654948217
Los Aromos,Metropolitana,"13",Chacabuco,"133",Colina,"13301",Urbano,83636.34599440001,"217",0.08363633754,-70.6807146435251,-33.220924671911
El Arenal,Metropolitana,"13",Cordillera,"132",San José de Maipo,"13203",Rural,7021.85435137000,"28",0.00702185879,-70.3384068574671,-33.6856734384238
Emergencia,Metropolitana,"13",Cordillera,"132",San José de Maipo,"13203",Rural,3327.45491237000,"14",0.00332745578,-70.3496430462295,-33.6491531428761
La Toma,Metropolitana,"13",Santiago,"131",Peñalolén,"13122",Urbano,32204.93638750000,"423",0.03220493786,-70.5417951229216,-33.4668003398226
Juan Pablo II,Metropolitana,"13",Santiago,"131",Lo Barnechea,"13115",Urbano,55388.03984880000,"534",0.05538802286,-70.5149512488848,-33.3686313670647
Pedro de Valdivia,Metropolitana,"13",Talagante,"136",El Monte,"13602",Rural,24610.61333870000,"34",0.02461061782,-70.9928949376473,-33.6857579073382
Los Areneros de Pirque,Metropolitana,"13",Cordillera,"132",Pirque,"13202",Rural,8276.84770640000,"30",0.00827684288,-70.6294821294668,-33.64719620986
El Yali,Metropolitana,"13",Melipilla,"135",San Pedro,"13505",Rural,13581.28343700000,"42",0.01358128904,-71.4390583303086,-33.9146936267059
Los Paltos,Metropolitana,"13",Maipo,"134",Buin,"13402",Rural,23647.50618510000,"77",0.02364750515,-70.7045597607639,-33.6898069663769
Callejón La Farfana,Metropolitana,"13",Santiago,"131",Maipú,"13119",Urbano,15695.05506950000,"77",0.01569504996,-70.7630389025008,-33.4938637971881
Maestranza San Eugenio,Metropolitana,"13",Santiago,"131",Estación Central,"13106",Urbano,12429.72896870000,"82",0.01242971960,-70.6750033505186,-33.4763458696232
Cerro la virgen,Metropolitana,"13",Talagante,"136",Peñaflor,"13605",Rural,6364.08039053000,"51",0.00636407708,-70.9089137472652,-33.6093357006865
Parcela 10,Metropolitana,"13",Maipo,"134",San Bernardo,"13401",Urbano,4288.47389097000,"39",0.00428847694,-70.6792615241296,-33.58848533194
Juan Pablo II,Metropolitana,"13",Talagante,"136",Peñaflor,"13605",Urbano,7272.96433116000,"120",0.00727296216,-70.8596851117138,-33.6089115329804
Santa Julia,Metropolitana,"13",Maipo,"134",San Bernardo,"13401",Rural,2103.45320685000,"63",0.00210345194,-70.7249763025763,-33.6248591245618
Núcleo Montenegro,Metropolitana,"13",Santiago,"131",Quinta Normal,"13126",Urbano,3132.39236170000,"54",0.00313239077,-70.705215906355,-33.4089933156436
San Francisco,Metropolitana,"13",Maipo,"134",San Bernardo,"13401",Urbano,36706.44311820000,"417",0.03670645153,-70.66704707298,-33.5932723686904
El Estero,Metropolitana,"13",Chacabuco,"133",Lampa,"13302",Rural,25529.28707900000,"216",0.02552929922,-70.8719309120666,-33.276474495266
San Francisco,Los Ríos,"14",Valdivia,"141",Mariquina,"14106",Rural,22243.65538090000,"96",0.02224364887,-72.9516779904178,-39.532529355666
Sector Estero,Los Ríos,"14",Valdivia,"141",Mariquina,"14106",Mixto,21433.04206940000,"55",0.02143303410,-72.9565987590848,-39.5338225756354
La Paz,Los Ríos,"14",Valdivia,"141",Mariquina,"14106",Rural,2773.36304527000,"12",0.00277336286,-72.9471363363463,-39.5360258061141
Pasaje Lan,Los Ríos,"14",Valdivia,"141",Valdivia,"14101",Urbano,3709.23425698000,"15",0.00370922860,-73.240255977487,-39.8057703877148
San Carlos,Los Ríos,"14",Valdivia,"141",Corral,"14102",Mixto,4248.82797688000,"9",0.00424882693,-73.4335887169765,-39.8633954829362
Pasaje Geywits,Los Ríos,"14",Valdivia,"141",Valdivia,"14101",Urbano,5228.93394023000,"33",0.00522894242,-73.241617449825,-39.8236974727766
Girasoles,Los Ríos,"14",Valdivia,"141",Valdivia,"14101",Mixto,61445.89616440000,"253",0.06144589824,-73.2052194576605,-39.8242378885511
Arturo Prat,Los Ríos,"14",Valdivia,"141",Valdivia,"14101",Urbano,22969.98494440000,"110",0.02296998524,-73.2195210072334,-39.8160126240736
Eladio Rojas,Los Ríos,"14",Valdivia,"141",Valdivia,"14101",Urbano,28823.08069770000,"138",0.02882307264,-73.2273389412726,-39.8460590668272
Buscando Futuro,Los Lagos,"10",Osorno,"103",Osorno,"10301",Urbano,31036.11685070000,"110",0.03103612402,-73.169129178566,-40.5953134675103
Piedra Azul,Los Lagos,"10",Llanquihue,"101",Puerto Montt,"10101",Rural,58545.41083760000,"96",0.05854542862,-72.7885086042203,-41.5097043769027
Ladera Angelmo,Los Lagos,"10",Llanquihue,"101",Puerto Montt,"10101",Urbano,33837.84516450000,"82",0.03383784867,-72.963018277468,-41.4812538551622
Ladera Schilling,Los Lagos,"10",Osorno,"103",Osorno,"10301",Urbano,10751.73292130000,"46",0.01075173202,-73.1620230026154,-40.5673876993517
Pedro Montt,Los Lagos,"10",Osorno,"103",Osorno,"10301",Urbano,5559.93762239000,"33",0.00555993807,-73.1620198272993,-40.56888902515
Ladera Mac Iver,Los Lagos,"10",Llanquihue,"101",Puerto Montt,"10101",Urbano,20594.54768980000,"59",0.02059455129,-72.9521417073266,-41.4674457147462
Yaldad,Los Lagos,"10",Chiloé,"102",Quellón,"10208",Urbano,6803.32475569000,"13",0.00680332968,-73.6415897441128,-43.1181054585524
Ribera Norte,Los Lagos,"10",Chiloé,"102",Quellón,"10208",Urbano,16943.36883010000,"48",0.01694336931,-73.6340021945071,-43.1182061230182
Torino,Los Lagos,"10",Chiloé,"102",Quellón,"10208",Urbano,10375.69094930000,"61",0.01037568692,-73.6018999977947,-43.1186238992692
Camino Agua Potable,Los Lagos,"10",Chiloé,"102",Ancud,"10202",Urbano,39711.36067150000,"39",0.03971135495,-73.8030869600134,-41.8808949121139
Brisas del Mar,Los Lagos,"10",Llanquihue,"101",Calbuco,"10102",Urbano,29579.97578690000,"109",0.02957995965,-73.143881539203,-41.7840047981026
Estero Lobos Sur,Los Lagos,"10",Llanquihue,"101",Puerto Montt,"10101",Urbano,47465.57948260000,"73",0.04746559231,-72.9322014397137,-41.4585871635467
Ladera Lintz,Los Lagos,"10",Llanquihue,"101",Puerto Montt,"10101",Urbano,39685.62796350000,"65",0.03968562978,-72.923190987157,-41.4656111170158
Quebrada El Molle,Coquimbo,"4",Elqui,"41",Andacollo,"4103",Urbano,14813.84639380000,"22",0.01481385083,-71.0771510701167,-30.228964991069
El Peumo,Coquimbo,"4",Choapa,"42",Illapel,"4201",Urbano,5326.76843656000,"34",0.00532676018,-71.178120249049,-31.6344218636823
Puntilla Norte,Coquimbo,"4",Choapa,"42",Illapel,"4201",Urbano,15841.77133640000,"25",0.01584177656,-71.1479043345403,-31.6231349352597
Villa La Cruz,Coquimbo,"4",Elqui,"41",Coquimbo,"4102",Rural,27068.39456470000,"24",0.02706838510,-71.2271045327993,-30.0297444320775
Costanera Choapa,Coquimbo,"4",Choapa,"42",Salamanca,"4204",Urbano,4013.56017880000,"24",0.00401357291,-70.966838518979,-31.7865674828738
El Consuelo Alto,Coquimbo,"4",Choapa,"42",Salamanca,"4204",Rural,9689.55056479000,"19",0.00968954428,-70.955645852386,-31.7758314904142
Los Paltos,O'Higgins,"6",Cachapoal,"61",Rancagua,"6101",Urbano,18170.10025060000,"52",0.01817010669,-70.7410859663845,-34.1937909293327
Santa Lucia II,O'Higgins,"6",Cachapoal,"61",Rancagua,"6101",Urbano,3089.92036399000,"12",0.00308991866,-70.7162330349075,-34.167292585126
Las Ranas,O'Higgins,"6",Colchagua,"63",Chimbarongo,"6303",Rural,25109.56323620000,"30",0.02510955862,-71.0193498774031,-34.682686727335
Chancha del Ferro,O'Higgins,"6",Colchagua,"63",Chimbarongo,"6303",Urbano,1970.63169138000,"11",0.00197063052,-71.0428064058652,-34.7135479000946
Polonia Juegos,O'Higgins,"6",Colchagua,"63",San Fernando,"6301",Rural,12972.11829270000,"20",0.01297211834,-70.9404921965637,-34.5369741123409
Longitudinal Línea Férrea II,O'Higgins,"6",Cachapoal,"61",Olivar,"6111",Rural,7815.24358663000,"22",0.00781527482,-70.7684598976274,-34.2080535165282
Tres Puentes,O'Higgins,"6",Cachapoal,"61",Coinco,"6103",Mixto,10199.46036410000,"13",0.01019946723,-70.9766572856255,-34.2743872415839
Villa María,O'Higgins,"6",Cachapoal,"61",Requínoa,"6116",Rural,5145.35524370000,"9",0.00514535433,-70.8747835551368,-34.251724071333
Cerro Verde (El Abra),O'Higgins,"6",Cachapoal,"61",Requínoa,"6116",Rural,28200.39947120000,"18",0.02820039535,-70.8499011132296,-34.2817082797589
12 de Febrero (El Bosque),O'Higgins,"6",Cachapoal,"61",Machalí,"6108",Urbano,73160.43994500001,"47",0.07316044555,-70.6386891669238,-34.181979914988
Trapiche Molino Viejo II,O'Higgins,"6",Cachapoal,"61",Rancagua,"6101",Urbano,16545.78565110000,"14",0.01654578842,-70.7580344826139,-34.159568098905
El Rabanal,O'Higgins,"6",Cachapoal,"61",Rancagua,"6101",Rural,7348.23601594000,"11",0.00734824110,-70.7311750336759,-34.2038813117209
Rapel,O'Higgins,"6",Cardenal Caro,"62",Navidad,"6205",Urbano,2071.74516104000,"9",0.00207174325,-71.7352593259951,-33.9455684396378
Pedro Segundo Estrada II,O'Higgins,"6",Cachapoal,"61",Rengo,"6115",Urbano,2364.93854518000,"12",0.00236492948,-70.8544022730709,-34.4093433842366
Bajo La Copa de Agua II,O'Higgins,"6",Cachapoal,"61",Rengo,"6115",Urbano,2771.68626701000,"17",0.00277169023,-70.8494226912657,-34.3946427783269
Río Claro II,O'Higgins,"6",Cachapoal,"61",Rengo,"6115",Urbano,7326.15283906000,"21",0.00732614947,-70.8509839872463,-34.3805488695068
Estadio,O'Higgins,"6",Cachapoal,"61",Graneros,"6106",Urbano,3368.97577426000,"20",0.00336897843,-70.7278231041908,-34.0735586058181
Lo Acevedo,O'Higgins,"6",Cachapoal,"61",Codegua,"6102",Urbano,9043.65405035000,"17",0.00904365536,-70.6444811087815,-34.0380753048956
Cancha de Pichico,O'Higgins,"6",Cachapoal,"61",Mostazal,"6110",Urbano,4666.53606727000,"10",0.00466653288,-70.7133816669813,-33.9732330687175
Río Peuco Carretera,O'Higgins,"6",Cachapoal,"61",Mostazal,"6110",Rural,41656.91983040000,"22",0.04165692502,-70.7134704764575,-33.9498804116577
Los Encinos,O'Higgins,"6",Colchagua,"63",Peralillo,"6307",Urbano,6824.39545980000,"16",0.00682439241,-71.4826501749786,-34.4806559257214
El Manzano - Los Boldos,O'Higgins,"6",Cachapoal,"61",Quinta de Tilcoco,"6114",Urbano,8623.36774140000,"12",0.00862336763,-70.9498753642145,-34.3435621290026
Estacion Pelequén II,O'Higgins,"6",Cachapoal,"61",Malloa,"6109",Urbano,13207.35727150000,"16",0.01320734776,-70.8924619019275,-34.4580118056011
Puente Limahue,O'Higgins,"6",Cachapoal,"61",Malloa,"6109",Rural,3762.96685140000,"8",0.00376297125,-70.9146714591795,-34.4640185268622
Callejon El Colegio,O'Higgins,"6",Cachapoal,"61",San Vicente,"6117",Urbano,5925.08595596000,"14",0.00592508483,-71.055991790198,-34.4308322068636
Cerro San Luis,O'Higgins,"6",Cachapoal,"61",San Vicente,"6117",Urbano,11232.62372000000,"18",0.01123261703,-71.0575104202641,-34.4317612870057
Borde Río,Ñuble,"16",Punilla,"163",San Carlos,"16301",Rural,24378.13981690000,"12",0.02437813867,-72.0860629258881,-36.5468121773939
El Esfuerzo,Ñuble,"16",Diguillín,"161",Bulnes,"16102",Urbano,8443.49836714000,"11",0.00844349902,-72.3243983516629,-36.8145519458106
El Refugio,Ñuble,"16",Diguillín,"161",Bulnes,"16102",Urbano,9816.93708484000,"16",0.00981693941,-72.2943088066977,-36.7517965639136
Los Eucaliptus,Ñuble,"16",Diguillín,"161",Chillán,"16101",Urbano,8034.86822328000,"18",0.00803486128,-72.0813423823807,-36.5927851701549
Puente Ñuble 2,Ñuble,"16",Punilla,"163",San Nicolás,"16305",Rural,6597.65060045000,"20",0.00659765222,-72.0918305744183,-36.5458390513463
Cabildo Chillán Viejo,Ñuble,"16",Diguillín,"161",Chillán Viejo,"16103",Urbano,1441.01654848000,"11",0.00144101755,-72.1307049326851,-36.6364100728641
Los Leones,Ñuble,"16",Itata,"162",Coelemu,"16203",Urbano,6460.80602803000,"14",0.00646080785,-72.7097759101548,-36.4922173432826
Las Pataguas,Ñuble,"16",Itata,"162",Coelemu,"16203",Urbano,4619.79152510000,"13",0.00461979432,-72.7082018008347,-36.4907615920222
Los Cardones,Ñuble,"16",Itata,"162",Ninhue,"16204",Urbano,5280.63308963000,"9",0.00528063399,-72.4068889558195,-36.399035585846
La Sierra,Metropolitana,"13",Santiago,"131",Lo Espejo,"13116",Urbano,4764.89551141000,"21",0.00476489756,-70.6902936521531,-33.5292680543796
Quebrada la Carmona,Metropolitana,"13",Cordillera,"132",San José de Maipo,"13203",Rural,5180.91293916000,"16",0.00518091005,-70.4651565419181,-33.5840765694656
Cementerio,Metropolitana,"13",Santiago,"131",Quilicura,"13125",Rural,53204.69471470000,"21",0.05320467550,-70.7478117736387,-33.3873774482044
Las Acacias,Metropolitana,"13",Chacabuco,"133",Lampa,"13302",Rural,46053.02522890000,"33",0.04605302821,-70.8611970407365,-33.2816781446714
El Melón Esperanza,Metropolitana,"13",Santiago,"131",Quinta Normal,"13126",Urbano,3424.95983518000,"15",0.00342495447,-70.6803600659236,-33.4277910955223
La Cruz,Metropolitana,"13",Santiago,"131",Quinta Normal,"13126",Urbano,2058.94579059000,"20",0.00205894392,-70.6783416500844,-33.4263159372857
El Esfuerzo,Metropolitana,"13",Santiago,"131",Conchalí,"13104",Urbano,2640.98800548000,"15",0.00264098780,-70.6938383023531,-33.3783717338242
Los Arminios,Metropolitana,"13",Santiago,"131",Conchalí,"13104",Urbano,2490.10614508000,"16",0.00249011204,-70.673198977217,-33.3865416294331
Condominio Buzeta,Metropolitana,"13",Santiago,"131",Estación Central,"13106",Urbano,1694.30433299000,"24",0.00169430661,-70.684235954636,-33.4754522745426
Camino Internacional,Metropolitana,"13",Maipo,"134",San Bernardo,"13401",Urbano,5045.31486208000,"13",0.00504531639,-70.7091249666984,-33.6256553406196
Milla Antu,Metropolitana,"13",Cordillera,"132",Puente Alto,"13201",Mixto,58205.33060020000,"217",0.05820532083,-70.51367546888,-33.6097181164715
Costanera,Metropolitana,"13",Cordillera,"132",Puente Alto,"13201",Urbano,23138.88325130000,"90",0.02313889449,-70.5185544962466,-33.6129225603374
Barro y Sol,Metropolitana,"13",Cordillera,"132",Puente Alto,"13201",Urbano,14058.09576250000,"74",0.01405809256,-70.5149618732038,-33.6078391378471
Esperanza - Vista Hermosa,Metropolitana,"13",Cordillera,"132",Puente Alto,"13201",Urbano,9491.96040779000,"37",0.00949196331,-70.5234709733392,-33.6147904106319
Cerro La Ballena,Metropolitana,"13",Cordillera,"132",Puente Alto,"13201",Urbano,3618.63632124000,"11",0.00361863866,-70.5493791028114,-33.6067977506925
San Pedro,Metropolitana,"13",Chacabuco,"133",Lampa,"13302",Rural,6491.35698059000,"16",0.00649135123,-70.889900865725,-33.2904445638593
Rodeo Medialuna,Metropolitana,"13",Chacabuco,"133",Lampa,"13302",Rural,37059.86889090000,"135",0.03705986159,-70.8871155739308,-33.2736279908602
Nuevo Porvenir,Metropolitana,"13",Chacabuco,"133",Lampa,"13302",Rural,79217.27608850000,"83",0.07921727966,-70.8382723193468,-33.2827079811773
Costanera Mapocho,Metropolitana,"13",Santiago,"131",Cerro Navia,"13103",Urbano,4213.96860828000,"11",0.00421396779,-70.7459601429445,-33.4130385609363
Galvarino,Metropolitana,"13",Santiago,"131",La Florida,"13110",Urbano,1549.44805154000,"18",0.00154944889,-70.5751779115511,-33.5113808418057
Felipe Camiroaga Colina,Metropolitana,"13",Chacabuco,"133",Colina,"13301",Urbano,19746.63696870000,"42",0.01974665546,-70.6546947412339,-33.1890292566001
Quebrada de Macul II,Metropolitana,"13",Santiago,"131",La Florida,"13110",Urbano,4004.76795963000,"22",0.00400477184,-70.5570431774335,-33.515086600758
La Esperanza,Metropolitana,"13",Chacabuco,"133",Tiltil,"13303",Rural,23540.41385480000,"17",0.02354039973,-70.9227100672822,-33.1124857024251
El Estero II,Metropolitana,"13",Chacabuco,"133",Lampa,"13302",Rural,44991.52322910000,"104",0.04499152510,-70.8721105518374,-33.2763980387801
Talagante Sin Fronteras,Metropolitana,"13",Talagante,"136",Talagante,"13601",Urbano,14260.71460020000,"48",0.01426071697,-70.9508357908505,-33.6825851982337
Almirante Latorre,Metropolitana,"13",Talagante,"136",Talagante,"13601",Mixto,12520.61894880000,"17",0.01252062179,-70.9346504116843,-33.6609954144408
Calixto Nuñez,Metropolitana,"13",Talagante,"136",Talagante,"13601",Urbano,9388.63128342000,"11",0.00938862440,-70.9203499221398,-33.6583811016654
Ribera del Río,Metropolitana,"13",Talagante,"136",Talagante,"13601",Urbano,137285.17651300001,"115",0.13728515903,-70.932152111164,-33.6537582201749
Margarita Mella,Metropolitana,"13",Chacabuco,"133",Tiltil,"13303",Rural,44824.94748720000,"24",0.04482495072,-70.8856033207981,-33.0044615703841
Ribera del Río II,Metropolitana,"13",Chacabuco,"133",Tiltil,"13303",Rural,31998.91425360000,"15",0.03199891413,-70.8864508993254,-33.1615170812996
Nueva Comaico,Metropolitana,"13",Chacabuco,"133",Colina,"13301",Urbano,11757.54201000000,"61",0.01175754386,-70.6639403264322,-33.1977349420388
Nueva Esperanza,Metropolitana,"13",Chacabuco,"133",Colina,"13301",Urbano,8533.17998697000,"84",0.00853317851,-70.6649506241894,-33.1984468829393
San Juan de Chena,Metropolitana,"13",Santiago,"131",Maipú,"13119",Urbano,10647.01880360000,"24",0.01064701143,-70.768282938211,-33.5387478955723
Elena Prussing,Metropolitana,"13",Maipo,"134",San Bernardo,"13401",Urbano,6063.13629726000,"48",0.00606312579,-70.6779226629095,-33.605690683257
Santa Teresa,Metropolitana,"13",Maipo,"134",San Bernardo,"13401",Urbano,7049.74637388000,"41",0.00704973929,-70.673739950478,-33.5893861872321
12 de Mayo - 21 de Mayo,Metropolitana,"13",Chacabuco,"133",Colina,"13301",Urbano,15109.92824030000,"148",0.01510992669,-70.6658205081151,-33.1993431168293
Japón,Metropolitana,"13",Santiago,"131",Maipú,"13119",Urbano,12319.64121100000,"43",0.01231964455,-70.7325842448587,-33.4909046652628
Vicente Reyes,Metropolitana,"13",Santiago,"131",Maipú,"13119",Urbano,13947.31033280000,"88",0.01394731519,-70.7545143124944,-33.524611804671
Enrique Carrasco,Metropolitana,"13",Maipo,"134",Paine,"13404",Urbano,7601.95429252000,"34",0.00760194998,-70.7442891462132,-33.8184043402369
Estacion Vieja,Metropolitana,"13",Santiago,"131",Renca,"13128",Urbano,1722.39480307000,"0",0.00172239703,-70.6906358832124,-33.4006329134846
