Nombre,Region,CUT_Reg,Provincia,CUT_provin,Comuna,CUT_comuna,Categoria_,SUP_M2,T__HOGARES,SUP_km,xcoord,ycoord
El Comienzo,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3283.68794700000,"12",0.00328369114,-71.5033119866603,-32.993006661208
El Esfuerzo,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3764.33573608000,"10",0.00376433327,-71.4985472075402,-33.0241014718702
El Legado,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,5844.08998524000,"22",0.00584409222,-71.5180955836731,-33.003800255214
Madre Tierra,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,18602.18873220000,"73",0.01860219085,-71.5179036641709,-33.0052791465222
Mirador Las Palmas,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,5251.59776921000,"14",0.00525160042,-71.5486668989919,-33.0490932052174
Hijos de Placilla,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,30808.78627100000,"88",0.03080878883,-71.5608291077827,-33.1092735914607
El Esfuerzo de Placilla II,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,3496.46622836000,"18",0.00349646132,-71.5580623491412,-33.1090771360599
Calle Colo Colo,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3999.29066547000,"14",0.00399928718,-71.5648612176038,-33.0400235475835
Jose Ignacio Centena,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3057.72733288000,"16",0.00305772717,-71.5616158195406,-33.0390817012937
Esperanza 2011,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,18853.87235540000,"84",0.01885387773,-71.557201763194,-33.0587688841866
Generación 2012,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,8831.11392024000,"19",0.00883111305,-71.530169905171,-33.0462699763713
Lomas Frente al Mar,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,12599.25507480000,"29",0.01259925269,-71.6493651966341,-33.0363045680749
Farkas,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,16356.11483970000,"68",0.01635613071,-71.5408619305797,-33.0517866289139
La Fe,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,15971.45686900000,"58",0.01597145874,-71.5439916821302,-33.0488060576195
Nuevo Amanecer,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,22484.16462710000,"47",0.02248416341,-71.6255089687977,-33.0655122763298
Parcela 15-2 (F. Camiroaga),Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,90684.06199180000,"190",0.09068405677,-71.5485113295954,-33.0531848669063
Florida,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,15757.90595880000,"17",0.01575791341,-71.6255312936137,-33.061003066528
Familia Unida de Reñaca Alto,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3918.92500875000,"29",0.00391892325,-71.4869761335106,-32.9922363109369
Rotonda San Isidro,Valparaíso,"5",Quillota,"55",Quillota,"5501",Rural,13973.91888960000,"23",0.01397391479,-71.2475597881357,-32.9007530610904
Unión y Esperanza,Valparaíso,"5",Valparaíso,"51",Quintero,"5107",Urbano,11953.31657490000,"28",0.01195332199,-71.4958908790866,-32.7905074566083
Nuevo Sol (Cerro Centinela),Valparaíso,"5",Valparaíso,"51",Quintero,"5107",Urbano,132606.55243600000,"102",0.13260651977,-71.5417280223929,-32.7976550143258
Lomas del Bosque,Valparaíso,"5",Valparaíso,"51",Quintero,"5107",Urbano,25339.04653120000,"30",0.02533905075,-71.4985082060994,-32.7934134075299
Padre Alberto Hurtado,Valparaíso,"5",Quillota,"55",Calera,"5502",Urbano,6092.95653822000,"16",0.00609295365,-71.1936400081446,-32.7966525031182
San Francisco,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,7946.71317861000,"19",0.00794671357,-71.5722319913154,-33.053916636067
Punta de Tralca,Valparaíso,"5",San Antonio,"56",El Quisco,"5604",Urbano,16218.23061370000,"26",0.01621822688,-71.6920729274006,-33.4338989525223
Pasaje Bita,Valparaíso,"5",San Antonio,"56",San Antonio,"5601",Urbano,8965.54100021000,"23",0.00896554072,-71.6030728510539,-33.5706849017129
Bello Horizonte Norte,Valparaíso,"5",San Antonio,"56",San Antonio,"5601",Urbano,7786.04774028000,"9",0.00778604788,-71.6037304130113,-33.5709170205535
Bello Horizonte Sur,Valparaíso,"5",San Antonio,"56",San Antonio,"5601",Urbano,5839.52051972000,"15",0.00583952239,-71.6035144017789,-33.5725570723623
Los Tigres,Valparaíso,"5",San Antonio,"56",San Antonio,"5601",Urbano,1900.71465825000,"12",0.00190071611,-71.6219523580559,-33.6149389256195
El Estero,Valparaíso,"5",San Antonio,"56",San Antonio,"5601",Urbano,2234.26051855000,"10",0.00223425943,-71.6223585415017,-33.6158122096936
Pasaje Aguila,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,10681.81816530000,"44",0.01068181081,-71.5662417562864,-33.0518395485717
Quebrada de los Plátanos,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,6012.15902638000,"29",0.00601216092,-71.5875084105785,-33.0343082805254
La Isla carretera,Valparaíso,"5",Valparaíso,"51",Concón,"5103",Rural,60046.53600300000,"59",0.06004653722,-71.5026644403147,-32.9184366523486
Alto las Palmas,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,7142.76006969000,"18",0.00714276301,-71.5128723940232,-33.0123953529358
21 de Febrero,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,11692.36112460000,"40",0.01169235722,-71.5045171372884,-32.9992191842681
San Expedito,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,8395.97526043000,"31",0.00839597883,-71.5305108809202,-33.0465371372931
Villa Alegre,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,12115.34978970000,"32",0.01211535663,-71.5032171780929,-33.0017070725392
Buena esperanza,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,7682.57306528000,"23",0.00768256835,-71.5011128973505,-33.0050556808532
Teresita de Los Andes,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,6554.00192022000,"9",0.00655400247,-71.5319226826281,-32.9739110259906
Las Palmeras,Valparaíso,"5",Valparaíso,"51",Concón,"5103",Urbano,8189.15588109000,"17",0.00818916026,-71.5090016313552,-32.9260615730892
Las Gaviotas,Valparaíso,"5",Valparaíso,"51",Quintero,"5107",Rural,20870.23527340000,"44",0.02087023791,-71.5013712187105,-32.911645666438
San Andrés - Renacer de Ocoa,Valparaíso,"5",Quillota,"55",Hijuelas,"5503",Rural,10046.92521340000,"33",0.01004692164,-71.0862398774097,-32.8441860512446
La Tetera,Valparaíso,"5",Quillota,"55",Quillota,"5501",Rural,5206.37513339000,"26",0.00520637891,-71.2382144379596,-32.8927856378716
Guyana,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,21279.51226990000,"75",0.02127950790,-71.4775107388565,-33.0247127721018
Fe y esperanza,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Mixto,11893.31575440000,"35",0.01189331427,-71.4797930108739,-33.0242461613223
Villa Independencia,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,31448.68206840000,"106",0.03144867684,-71.4945456903251,-33.0241033121172
La Unión (Villa Hermosa y Familiar),Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,21703.82343340000,"72",0.02170382792,-71.4874189510555,-33.0295794573115
Chile Nuevo,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,19805.59875120000,"60",0.01980559954,-71.481836026049,-33.0279383639427
Esfuerzo y Esperanza,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,24271.91777310000,"66",0.02427190625,-71.5040098871957,-33.0170765629555
El Peumo,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,11654.85513120000,"32",0.01165484938,-71.5092279935065,-33.0154642083998
Caminando Hacia mi Casa,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,36414.76927500000,"72",0.03641477117,-71.5112435171705,-33.0137620053784
Granadillas IV,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,24448.58917590000,"44",0.02444858178,-71.5107881817997,-33.0173464823349
Miraflores Granadillas 6 y 5,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,41637.25684450000,"88",0.04163723992,-71.5149497694278,-33.0148176970324
Santa Fe Allipen,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,34317.60058080000,"85",0.03431759971,-71.5094492655118,-33.012178835592
Ulises Poirier,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,4894.71982348000,"14",0.00489472090,-71.5096024380153,-33.0062182072466
Manuel Rodríguez,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,6252.92024755000,"19",0.00625292446,-71.503825453951,-32.9890608256712
Felipe Camiroaga,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,253619.21631300001,"669",0.25361922564,-71.5485386142703,-33.0571273602003
Ilusión y Progreso,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,2848.96676038000,"15",0.00284896903,-71.548129290694,-33.0360259601649
Valle de la Luna,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,11798.48661190000,"30",0.01179848960,-71.5332178626629,-33.0496806637888
Rucamanqui,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,13811.33216820000,"41",0.01381132707,-71.5399142115459,-33.0501047276166
Nuevo Horizonte - Los Boldos Motrihue,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,16452.83716620000,"48",0.01645283978,-71.5347223498611,-33.0532337695949
Ex Sila Bicicross,Valparaíso,"5",Los Andes,"53",Los Andes,"5301",Urbano,54884.25845310000,"44",0.05488424294,-70.5968536646156,-32.823072551177
Terraplén,Valparaíso,"5",Los Andes,"53",Los Andes,"5301",Mixto,73869.60850020000,"36",0.07386959718,-70.5320752770319,-32.842522672936
Cerro La Virgen,Valparaíso,"5",San Felipe de Aconcagua,"57",San Felipe,"5701",Rural,12351.31739820000,"68",0.01235131630,-70.7261554507496,-32.7310936226361
Pompeya Sur,Valparaíso,"5",Marga Marga,"58",Quilpué,"5801",Urbano,41424.96358520000,"4",0.04142498057,-71.4678746129003,-33.0571840935919
Los Faluchos - Las Dunas,Valparaíso,"5",San Antonio,"56",Cartagena,"5603",Urbano,19888.03162590000,"56",0.01988802150,-71.5971041995623,-33.5372669277627
